bin	GH	GT	CE	CBM
Pful_bac_bin387	31	32	1	2
Pful_bac_bin388	27	31	3	5
Pful_bac_bin389	33	44	5	7
Pful_bac_bin390	13	33	1	1
Pful_bac_bin391	28	47	4	6
Pful_bac_bin392	24	39	5	5
Pful_bac_bin393	27	40	4	5
Pful_bac_bin394	29	58	5	5
Pful_bac_bin395	31	69	9	7
Pful_bac_bin396	15	36	5	3
Pful_bac_bin397	25	59	6	5
Pful_bac_bin398	28	80	5	7
Pful_bac_bin399	42	55	5	7
Pful_bac_bin400	22	39	3	1
Pful_bac_bin401	23	68	2	4
Pful_bac_bin402	36	70	3	3
Pful_bac_bin403	22	53	4	4
Pful_bac_bin404	21	60	2	5
Pful_bac_bin405	18	39	4	5
Pful_bac_bin406	21	28	3	1
Pful_bac_bin407	16	23	4	3
Pful_bac_bin408	31	50	5	3
Pful_bac_bin409	20	36	5	4
Pful_bac_bin410	23	42	5	5
Pful_bac_bin411	17	43	4	2
Pful_bac_bin412	26	49	3	4
Pful_bac_bin413	24	40	7	3
Pful_bac_bin414	22	34	4	2
Pful_bac_bin415	19	28	3	2
Pful_bac_bin416	15	35	2	2
Pful_bac_bin417	35	35	4	7
Pful_bac_bin418	23	40	3	6
Pful_bac_bin419	27	32	4	3
Pful_bac_bin420	28	30	3	5
Pful_bac_bin421	63	58	8	19
Pful_bac_bin422	44	66	4	15
Pful_bac_bin423	30	68	10	7
Pful_bac_bin424	29	36	7	6
Pful_bac_bin425	9	13	5	4
Pful_bac_bin426	5	16	0	0
Pful_bac_bin427	4	17	0	0
Pful_bac_bin428	1	7	1	1
Pful_bac_bin429	0	0	0	0
Pful_bac_bin430	0	0	0	0
Pful_bac_bin431	1	1	0	0
Pful_bac_bin432	7	27	0	2
Pful_bac_bin433	13	43	0	3
Pful_bac_bin434	8	14	0	0
Pful_bac_bin435	8	21	0	2
Pful_bac_bin436	15	23	3	1
Pful_bac_bin437	7	14	0	0
Pful_bac_bin438	11	21	2	4
Pful_bac_bin439	10	21	2	2
Pful_bac_bin440	13	20	2	4
Pful_bac_bin441	49	24	9	17
Pful_bac_bin442	92	30	13	25
Pful_bac_bin443	97	59	17	29
Pful_bac_bin444	117	44	20	25
Pful_bac_bin445	20	13	7	3
Pful_bac_bin446	26	33	4	2
Pful_bac_bin447	46	39	2	3
Pful_bac_bin448	46	50	5	3
Pful_bac_bin449	39	33	6	4
Pful_bac_bin450	7	19	4	1
Pful_bac_bin451	19	13	1	5
Pful_bac_bin452	21	28	3	2
Pful_bac_bin453	16	24	2	5
Pful_bac_bin454	15	20	2	3
Pful_bac_bin455	18	21	0	4
Pful_bac_bin456	22	36	2	5
Pful_bac_bin457	23	25	2	4
Pful_bac_bin458	18	25	3	4
Pful_bac_bin459	10	23	0	3
Pful_bac_bin460	12	19	1	4
Pful_bac_bin461	38	35	3	9
Pful_bac_bin462	27	40	1	4
Pful_bac_bin463	6	11	1	0
Pful_bac_bin464	6	7	1	1
Pful_bac_bin465	8	10	0	1
Pful_bac_bin466	8	12	1	1
Pful_bac_bin467	7	14	0	1
Pful_bac_bin468	12	14	1	1
Pful_bac_bin469	10	19	1	1
Pful_bac_bin470	37	44	5	7
Pful_bac_bin471	13	24	2	2
Pful_bac_bin472	20	36	2	7
Pful_bac_bin473	97	52	4	23
Pful_bac_bin474	71	45	8	18
Pful_bac_bin475	102	90	10	18
Pful_bac_bin476	64	58	10	12
Pful_bac_bin477	74	36	8	12
Pful_bac_bin478	27	24	6	8
Pful_bac_bin479	20	35	0	11
Pful_bac_bin480	58	33	7	10
Pful_bac_bin481	41	16	2	18
Pful_bac_bin482	26	25	5	6
Pful_bac_bin483	32	12	1	1
Pful_bac_bin484	29	28	6	10
Pful_bac_bin485	32	45	5	3
Pful_bac_bin486	104	40	10	20
Pful_bac_bin487	52	18	4	9
Pful_bac_bin488	48	35	9	10
Pful_bac_bin489	177	27	26	27
Pful_bac_bin490	145	61	25	22
Pful_bac_bin491	46	53	7	12
Pful_bac_bin492	102	37	6	23
Pful_bac_bin493	77	44	6	23
